date,home,away,predicted_margin,actual_margin,predicted_win_prob,model_correct,margin_error,predicted_total,actual_total,total_error,confidence,games_used_home,games_used_away
2024-08-18,ATL,CON,-5.3,12.0,0.3343,False,17.3,153.6,152.0,1.5999999999999943,Medium,25,25
2024-08-18,IND,SEA,-6.12,17.0,0.3109,False,23.12,168.1,167.0,1.0999999999999943,Medium,27,26
2024-08-18,LV,LA,12.21,16.0,0.8302,True,3.789999999999999,169.2,158.0,11.199999999999989,High,25,26
2024-08-19,PHX,CHI,2.73,18.0,0.5879,True,15.27,165.4,154.0,11.400000000000006,Low,27,26
2024-08-20,CON,LA,11.83,8.0,0.8231,True,3.83,160.9,130.0,30.900000000000006,High,26,27
2024-08-20,NY,DAL,14.97,20.0,0.875,True,5.029999999999999,170.9,168.0,2.9000000000000057,High,28,26
2024-08-20,WAS,SEA,-5.54,-6.0,0.3274,True,0.45999999999999996,164.5,160.0,4.5,Medium,27,27
2024-08-21,ATL,PHX,-1.06,9.0,0.4655,False,10.06,162.2,135.0,27.19999999999999,Low,26,28
2024-08-22,LV,MIN,0.71,-11.0,0.5232,False,11.71,164.1,185.0,20.900000000000006,Low,26,28
2024-08-22,NY,DAL,15.68,8.0,0.8848,True,7.68,170.0,150.0,20.0,High,29,27
2024-08-23,ATL,PHX,-0.5,-2.0,0.4838,True,1.5,160.3,162.0,1.6999999999999886,Low,27,29
2024-08-23,CON,CHI,8.6,2.0,0.7536,True,6.6,156.2,162.0,5.800000000000011,High,27,27
2024-08-23,WAS,LA,3.8,6.0,0.6209,True,2.2,161.3,154.0,7.300000000000011,Medium,28,28
2024-08-24,MIN,LV,3.82,13.0,0.6216,True,9.18,167.1,161.0,6.099999999999994,Medium,29,27
2024-08-24,NY,CON,5.4,-8.0,0.6685,False,13.4,157.5,136.0,21.5,Medium,30,28
2024-08-25,MIN,IND,9.58,10.0,0.7765,True,0.41999999999999993,165.7,170.0,4.300000000000011,High,30,28
2024-08-25,CHI,LV,-1.89,-2.0,0.4387,True,0.1100000000000001,165.5,152.0,13.5,Low,28,28
2024-08-25,DAL,LA,1.68,3.0,0.5545,True,1.32,167.6,223.0,55.400000000000006,Low,28,29
2024-08-26,ATL,IND,3.63,-5.0,0.6159,False,8.629999999999999,160.0,163.0,3.0,Medium,28,29
2024-08-27,PHX,NY,-5.68,-14.0,0.3233,True,8.32,164.1,154.0,10.099999999999994,Medium,30,31
2024-08-27,SEA,WAS,9.99,-2.0,0.7856,False,11.99,162.9,146.0,16.900000000000006,High,28,29
2024-08-28,DAL,LV,-7.3,3.0,0.2791,False,10.3,175.8,183.0,7.199999999999989,High,29,29
2024-08-28,IND,CON,-6.26,4.0,0.307,False,10.26,161.8,164.0,2.1999999999999886,Medium,30,29
2024-08-29,CHI,WAS,3.78,-4.0,0.6204,False,7.779999999999999,158.5,144.0,14.5,Medium,29,30
2024-08-29,LA,NY,-9.9,6.0,0.2165,False,15.9,161.7,182.0,20.30000000000001,High,30,32
2024-08-29,PHX,MIN,-4.91,-13.0,0.3457,True,8.09,164.3,165.0,0.6999999999999886,Medium,31,31
2024-08-29,SEA,ATL,8.75,4.0,0.7572,True,4.75,156.5,166.0,9.5,High,29,29
2024-08-30,CHI,IND,2.49,-19.0,0.5803,False,21.490000000000002,163.5,181.0,17.5,Low,30,31
2024-08-30,DAL,MIN,-8.03,18.0,0.2604,False,26.03,171.0,170.0,1.0,High,30,32
2024-08-31,LV,ATL,8.02,11.0,0.7393,True,2.9800000000000004,161.3,155.0,6.300000000000011,High,30,30
2024-08-31,SEA,NY,-0.84,-13.0,0.4728,True,12.16,162.4,183.0,20.599999999999994,Low,30,33
2024-08-31,WAS,CON,-5.41,-11.0,0.3309,True,5.59,155.8,181.0,25.19999999999999,Medium,31,30
2024-09-01,CON,SEA,4.66,7.0,0.647,True,2.34,159.6,179.0,19.400000000000006,Medium,31,31
2024-09-01,MIN,CHI,9.24,5.0,0.7689,True,4.24,161.5,153.0,8.5,High,33,31
2024-09-01,DAL,IND,-0.91,-7.0,0.4706,True,6.09,176.6,193.0,16.400000000000006,Low,31,32
2024-09-01,PHX,LV,-0.56,-18.0,0.4819,True,17.44,166.8,176.0,9.199999999999989,Low,32,31
2024-09-01,LA,ATL,2.28,-18.0,0.5736,False,20.28,157.7,142.0,15.699999999999989,Low,31,31
2024-09-03,CON,SEA,3.69,-7.0,0.6178,False,10.69,162.5,135.0,27.5,Medium,32,32
2024-09-04,DAL,WAS,0.43,-4.0,0.514,False,4.43,170.8,176.0,5.199999999999989,Low,32,32
2024-09-04,LV,CHI,8.0,19.0,0.739,True,11.0,164.4,161.0,3.4000000000000057,High,32,32
2024-09-04,PHX,ATL,3.34,8.0,0.6069,True,4.66,158.1,140.0,18.099999999999994,Medium,33,32
2024-09-04,IND,LA,5.64,7.0,0.6756,True,1.3600000000000003,169.4,179.0,9.599999999999994,Medium,33,32
2024-09-05,NY,SEA,6.13,7.0,0.6893,True,0.8700000000000001,163.9,147.0,16.900000000000006,Medium,34,33
