game_date,away_team,home_team,home_win,home_moneyline,away_moneyline,heuristic_home_win_probability,heuristic_predicted_winner,heuristic_correct,raw_model_home_win_probability,raw_home_win_probability,calibrated_home_win_probability,hybrid_predicted_winner,hybrid_correct,side_probability_delta,heuristic_total_runs,raw_model_total_runs,predicted_total_runs,total_runs
2024-09-11,Cleveland Guardians,Chicago White Sox,0,,,0.32379639180921627,Cleveland Guardians,True,0.2037723202745976,0.24578074531171412,0.08,Cleveland Guardians,True,0.24379639180921625,6.578,11.850061371868087,8.686824548747236,10
2024-09-29,Texas Rangers,Los Angeles Angels,0,124.0,-148.0,0.43225541522060956,Texas Rangers,True,0.24904632847837527,0.31316950883815725,0.19047619047619047,Texas Rangers,True,0.2417792247444191,7.305,9.849703154512362,8.322881261804945,8
2024-08-24,Detroit Tigers,Chicago White Sox,0,,,0.31818584315757037,Detroit Tigers,True,0.22143488363431224,0.25529771946745256,0.08,Detroit Tigers,True,0.23818584315757035,6.006,11.69853525043983,8.283014100175933,17
2024-08-22,Milwaukee Brewers,St. Louis Cardinals,1,109.0,-132.0,0.42237750418905384,Milwaukee Brewers,False,0.1979213218548022,0.27648098567179025,0.19047619047619047,Milwaukee Brewers,False,0.23190131371286338,10.736,12.054817738404287,11.263527095361717,3
2024-09-22,Chicago White Sox,San Diego Padres,1,,,0.7100706931847687,San Diego Padres,True,0.7833269817928804,0.7576872807800413,0.92,San Diego Padres,True,0.20992930681523136,8.893,10.677176163109857,9.606670465243944,8
2024-09-05,Philadelphia Phillies,Miami Marlins,0,200.0,-254.0,0.39898197258431956,Philadelphia Phillies,True,0.22991739892702132,0.2890899997070757,0.19047619047619047,Philadelphia Phillies,True,0.2085057821081291,7.266,8.975341840776672,7.949736736310668,7
2024-08-14,Washington Nationals,Baltimore Orioles,1,,,0.5324939879117618,Baltimore Orioles,True,0.7624355633034591,0.681956011916365,0.7407407407407407,Baltimore Orioles,True,0.20824675282897886,10.151,8.995741689423571,9.688896675769428,5
2024-09-06,Philadelphia Phillies,Miami Marlins,0,232.0,-288.0,0.3966794121067616,Philadelphia Phillies,True,0.29181736800925895,0.3285190834433849,0.19047619047619047,Philadelphia Phillies,True,0.20620322163057114,6.578,9.521243172670195,7.755297269068079,18
2024-08-13,Kansas City Royals,Minnesota Twins,1,-124.0,104.0,0.5250588396049919,Minnesota Twins,True,0.3219823228452746,0.3930591037111757,0.3194444444444444,Kansas City Royals,False,0.20561439516054747,7.52,10.466052600733729,8.698421040293491,16
2024-08-24,San Francisco Giants,Seattle Mariners,1,-115.0,-108.0,0.46573510225594744,San Francisco Giants,False,0.7159093344985876,0.6283483532136636,0.6666666666666666,Seattle Mariners,True,0.2009315644107192,7.678,8.809988314197946,8.130795325679179,11
